Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Chalice In The Palace - 1990 Digital Remaster,U-Roy,1974,209000,4,0.664,0.426,0,-12.234,1,0.184,0.0354,0.0368,0.067,0.523,78.731,30,Reggae
Rule The Nation,U-Roy,1974,149733,4,0.733,0.462,1,-11.38,1,0.366,0.00666,0.384,0.21,0.419,78.603,11,Reggae
Trenchtown Rock (feat. Ziggy Marley),U-Roy,1974,269929,4,0.459,0.834,0,-3.468,1,0.229,0.0623,0.00000122,0.69,0.759,80.232,28,Reggae
Lost Mi Love,Yellowman,1985,310733,4,0.83,0.669,10,-7.536,0,0.214,0.0511,0,0.163,0.92,74.003,48,Reggae
Mr Chin,Yellowman,1985,242266,4,0.864,0.764,2,-6.784,1,0.147,0.0418,0.000111,0.346,0.77,75.625,33,Reggae
No Way to Run,Yellowman,1985,210128,4,0.699,0.475,10,-14.179,0,0.0945,0.587,0.0107,0.237,0.736,92.815,0,Reggae
Nobody Move Nobody Get Hurt,Yellowman,1985,223106,4,0.699,0.775,0,-5.936,1,0.123,0.33,0,0.121,0.58,82.058,45,Reggae
Them A Mad Over Me,Yellowman,1985,218466,4,0.787,0.244,1,-18.146,1,0.256,0.278,0,0.132,0.892,82.689,5,Reggae
Zungguzungguguzungguzeng,Yellowman,1985,388226,4,0.749,0.296,4,-17.927,1,0.356,0.0713,0.00458,0.0879,0.475,164.707,53,Reggae
Beach In Hawaii,Ziggy Marley,1997,224413,4,0.81,0.476,9,-8.933,0,0.0372,0.206,0.00000916,0.0837,0.88,98.981,57,Reggae
Going Where the Lonely Go,Merle Haggard,1980,289866,4,0.454,0.284,9,-15.105,1,0.0314,0.657,0.0934,0.108,0.24,79.961,34,Country
Walkin' After Midnight,Patsy Cline,1957,154666,4,0.757,0.196,0,-15.395,1,0.0386,0.809,0,0.14,0.813,90.305,60,Country
Back In Baby's Arms,Patsy Cline,1961,126493,4,0.704,0.234,8,-21.506,1,0.0323,0.717,0,0.0642,0.742,102.423,50,Country
Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,2016,253520,4,0.729,0.799,11,-7.378,0,0.0779,0.0588,0.00218,0.0948,0.532,115.04,53,Funk
I Want to Be Your Man,Zapp,1987,249866,4,0.557,0.607,5,-9.316,0,0.0551,0.0376,0,0.0635,0.457,81.648,36,Funk
Amazing Grace,Albertina Walker,1988,200153,4,0.391,0.293,3,-9.81,1,0.0366,0.967,0.000907,0.307,0.503,89.527,0,Gospel
How I Got Over,Albertina Walker,1988,238857,4,0.406,0.77,1,-7.093,1,0.0882,0.72,0,0.26,0.509,140.294,0,Gospel
I'm Still Here,Albertina Walker,1988,278693,3,0.617,0.515,10,-10.205,1,0.0381,0.702,0,0.109,0.517,119.283,26,Gospel
I've Got Feeling,Albertina Walker,1988,142200,4,0.366,0.928,0,-7.003,0,0.2,0.162,0,0.35,0.69,174.573,26,Gospel
Jesus Will Fix It,Albertina Walker,1988,171826,4,0.7,0.712,1,-6.967,1,0.0978,0.604,0,0.156,0.767,123.943,26,Gospel
Lord Keep Me Day By Day,Albertina Walker,1988,347306,3,0.379,0.458,10,-12.787,1,0.0475,0.771,0,0.648,0.577,113.148,14,Gospel
Working on a Building,Albertina Walker,1988,269133,4,0.742,0.686,7,-10.878,1,0.0411,0.41,0,0.307,0.797,111.01,30,Gospel
Day by Day (Live),Albertina Walker,1994,244933,4,0.351,0.338,10,-15.032,1,0.0553,0.196,0,0.672,0.413,73.313,33,Gospel
My Tribute (To God Be the Glory),Andrae Crouch,1971,273133,3,0.353,0.443,10,-8.514,1,0.0342,0.65,0,0.168,0.204,108.145,26,Gospel
I've Got Confidence,Andrae Crouch,1974,176026,4,0.37,0.735,7,-8.656,1,0.0741,0.528,0,0.0647,0.778,165.315,20,Gospel
It Won't Be Long,Andrae Crouch,1974,140506,4,0.388,0.611,1,-9.903,1,0.0562,0.692,0.0000061,0.0946,0.697,120.205,25,Gospel
Jesus Is the Answer,Andrae Crouch,1978,303160,4,0.403,0.751,8,-9.261,1,0.0541,0.597,0,0.543,0.699,129.898,28,Gospel
Let The Church Say Amen,Andrae Crouch,1978,468280,4,0.334,0.483,1,-8.109,1,0.0844,0.338,0.00000185,0.152,0.147,147.92,37,Gospel
Soon and Very Soon,Andrae Crouch,1978,285560,4,0.426,0.378,6,-13.098,1,0.0601,0.556,0.0000328,0.233,0.514,77.278,28,Gospel
Bless His Holy Name,Andrae Crouch,1980,183266,4,0.226,0.567,3,-8.78,1,0.0331,0.164,0,0.277,0.528,142.37,19,Gospel
Take Me Back,Andrae Crouch,1980,252960,4,0.461,0.541,1,-11.805,1,0.0327,0.227,0,0.0932,0.666,128.442,31,Gospel
You Can't Stop Me,Andy Mineo,2015,239961,4,0.77,0.826,3,-4.615,0,0.159,0.046,0,0.266,0.462,145.984,55,Gospel
Been About It,Andy Mineo,2020,141894,4,0.834,0.606,11,-6.191,1,0.187,0.000297,0,0.307,0.457,172.042,49,Gospel
Coming In Hot,Andy Mineo,2020,200168,4,0.889,0.453,8,-8.782,1,0.261,0.0274,0.00000475,0.156,0.428,140.025,57,Gospel
Hear My Heart,Andy Mineo,2020,180449,4,0.55,0.679,7,-3.155,0,0.16,0.271,0.00000331,0.138,0.615,94.402,29,Gospel
Wake The Town,U-Roy,1974,242401,4,0.722,0.829,5,-3.178,1,0.0429,0.0864,0.15,0.208,0.786,104.776,15,Reggae
Wear You To The Ball,U-Roy,1974,147226,4,0.879,0.502,0,-6.803,1,0.0485,0.348,0.0142,0.0866,0.695,95.162,16,Reggae
Man Next Door (feat. Santigold),U-Roy,2010,271618,4,0.599,0.895,9,-4.598,0,0.102,0.0052,0,0.495,0.7,141.512,28,Reggae
(I Can't Help) Falling In Love With You,UB40,1983,207440,4,0.642,0.722,2,-13.031,1,0.0375,0.0444,0.00388,0.122,0.836,172.406,70,Reggae
Cherry Oh Baby,UB40,1983,198626,4,0.79,0.259,7,-16.079,1,0.0676,0.00416,0.00813,0.0941,0.816,75.554,55,Reggae
Food For Thought,UB40,1983,239960,4,0.772,0.725,2,-6.217,1,0.0338,0.00691,0.00345,0.3,0.883,132.046,55,Reggae
Kingston Town,UB40,1983,228293,4,0.956,0.254,8,-13.264,1,0.0551,0.156,0.0362,0.0362,0.8,102.071,53,Reggae
Many Rivers To Cross,UB40,1983,273000,4,0.593,0.56,1,-12.834,1,0.0376,0.0875,0.132,0.0742,0.541,88.001,47,Reggae
One In Ten,UB40,1983,273133,4,0.853,0.767,9,-6.787,0,0.0439,0.0397,0.0000174,0.0849,0.875,126.698,46,Reggae
Rat In Mi Kitchen,UB40,1983,418466,4,0.729,0.545,9,-12.264,1,0.0633,0.0241,0.119,0.0609,0.826,90.911,50,Reggae
Red Red Wine,UB40,1983,183733,4,0.857,0.468,1,-8.53,1,0.0476,0.00414,0.0000132,0.269,0.843,89.119,73,Reggae
King Inna The Jungle,Yellowman,1985,242866,4,0.827,0.354,10,-14.223,1,0.264,0.0106,0,0.114,0.771,73.117,11,Reggae
I Ain't Done,Andy Mineo,2020,215060,5,0.762,0.533,1,-9.154,1,0.0678,0.00736,0.00167,0.186,0.417,114.971,43,Gospel
The Saints,Andy Mineo,2020,238146,4,0.763,0.913,1,-5.129,1,0.295,0.0425,0,0.0848,0.839,144.067,49,Gospel
Wild Things,Andy Mineo,2020,223960,4,0.618,0.825,1,-5.16,1,0.336,0.012,0,0.0403,0.503,78.965,23,Gospel
Celebrate New Life,Bebe & Cece Winans,1987,227026,4,0.671,0.741,1,-11.894,1,0.0494,0.137,0.0000426,0.0852,0.877,108.617,21,Gospel
Close to You,Bebe & Cece Winans,1987,204306,4,0.566,0.589,10,-5.771,0,0.0365,0.196,0,0.28,0.41,77.02,40,Gospel
For Always,Bebe & Cece Winans,1987,244200,4,0.326,0.225,2,-15.983,1,0.0304,0.769,0,0.141,0.0532,59.745,25,Gospel
Heaven,Bebe & Cece Winans,1987,283866,4,0.653,0.832,8,-7.198,1,0.047,0.245,0.013,0.0375,0.917,109.334,18,Gospel
I Found Love (Cindy's Song),Bebe & Cece Winans,1987,238586,4,0.548,0.496,6,-7.205,1,0.0382,0.536,0,0.165,0.175,139.908,41,Gospel
I'll Take You There,Bebe & Cece Winans,1987,259866,4,0.701,0.674,7,-10.153,1,0.0526,0.0416,0.000138,0.0874,0.88,99.019,31,Gospel
Addictive Love,Bebe & Cece Winans,1988,325266,4,0.587,0.801,5,-4.869,1,0.0419,0.284,0.00000393,0.0702,0.617,156.03,21,Gospel
Addictive Love - Different Lifestyles Album Version,Bebe & Cece Winans,1988,324333,4,0.599,0.732,0,-6.686,1,0.0444,0.224,0.00000765,0.0786,0.636,155.973,43,Gospel
Lost Without You,Bebe & Cece Winans,1995,254600,4,0.594,0.524,9,-12.916,1,0.0313,0.163,0,0.282,0.593,76.686,47,Gospel
In Harm's Way,Bebe & Cece Winans,2009,320333,4,0.549,0.555,8,-6.7,1,0.0278,0.462,0,0.103,0.154,107.931,34,Gospel
