Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Dancin’ In The Country,Tyler Hubbard,2023,179640,4,0.657,0.871,7,-4.614,1,0.0675,0.0031,0,0.102,0.532,114.974,72,Today
La Bebe,Yng Lvcas,2022,223992,4,0.775,0.465,7,-8.365,0,0.365,0.609,0.0000323,0.114,0.707,169.781,68,Today
La Bebe - Remix,Yng Lvcas,2022,234352,4,0.812,0.479,2,-5.678,0,0.333,0.213,0.00000121,0.0756,0.559,169.922,84,Today
Bandolero,Yng Lvcas,2023,190243,4,0.8,0.503,10,-8.064,0,0.0612,0.054,0.000648,0.125,0.497,82.025,26,Today
Esa Nena,Yng Lvcas,2023,197647,4,0.808,0.571,0,-5.161,0,0.0656,0.345,0.00000448,0.0844,0.62,170.037,47,Today
Pégateme,Yng Lvcas,2023,153835,4,0.752,0.6,11,-9.687,0,0.0931,0.103,0.00551,0.0554,0.608,79.994,50,Today
Perdonémonos,Yng Lvcas,2023,136421,4,0.887,0.589,5,-6.291,1,0.0602,0.107,0.00236,0.137,0.651,95.01,44,Today
Perreo Porky,Yng Lvcas,2023,224842,4,0.887,0.598,6,-6.89,1,0.1,0.099,0.00179,0.101,0.768,95.01,54,Today
VEN HDP,Yng Lvcas,2023,154666,4,0.831,0.829,6,-5.887,1,0.0873,0.45,0.0014,0.0915,0.865,96.969,34,Today
Chicken Fried,Zac Brown Band,2008,238146,4,0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,78,Today
Highway 20 Ride,Zac Brown Band,2008,229280,4,0.531,0.403,3,-7.195,1,0.0338,0.551,0.0000138,0.105,0.431,76.125,59,Today
Toes,Zac Brown Band,2008,262773,4,0.801,0.759,11,-5.398,1,0.0378,0.657,0,0.0897,0.821,129.971,73,Today
Whatever It Is,Zac Brown Band,2009,208213,4,0.686,0.576,1,-6.633,1,0.0284,0.443,0.0000166,0.212,0.72,83.969,69,Today
Colder Weather,Zac Brown Band,2010,273893,4,0.667,0.381,3,-7.494,1,0.0294,0.455,0,0.116,0.199,135.975,69,Today
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,2010,203173,4,0.715,0.584,8,-8.231,1,0.0296,0.432,0.00000141,0.095,0.609,90.99,75,Today
Goodbye in Her Eyes,Zac Brown Band,2012,324266,4,0.411,0.558,3,-7.393,1,0.038,0.162,0.00000379,0.0879,0.379,81.274,54,Today
Jump Right In,Zac Brown Band,2013,180813,4,0.699,0.819,1,-5.111,1,0.058,0.0886,0,0.143,0.654,104.02,58,Today
Homegrown,Zac Brown Band,2015,205000,4,0.712,0.807,6,-3.976,1,0.0297,0.0244,0.000122,0.0905,0.936,105.024,69,Today
Heading South,Zach Bryan,2020,171692,4,0.68,0.246,4,-14.112,1,0.058,0.783,0,0.106,0.388,110.23,86,Today
"Burn,Burn,Burn",Zach Bryan,2022,268856,4,0.508,0.296,3,-10.513,1,0.0755,0.897,0.00005,0.11,0.134,82.532,82,Today
God Speed,Zach Bryan,2022,253359,4,0.583,0.0819,0,-15.249,1,0.04,0.869,0,0.103,0.167,79.385,71,Today
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2022,227195,4,0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,89,Today
Letting Someone Go,Zach Bryan,2022,239761,4,0.543,0.117,0,-15.153,1,0.0389,0.811,0,0.147,0.395,83.607,65,Today
Something in the Orange,Zach Bryan,2022,228013,3,0.369,0.192,4,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,87,Today
Summertime Blues,Zach Bryan,2022,181239,4,0.552,0.411,1,-7.946,1,0.0434,0.794,0.0000035,0.248,0.501,78.095,67,Today
Dawns (feat. Maggie Rogers),Zach Bryan,2023,290892,4,0.447,0.441,0,-7.658,1,0.0456,0.874,0.0000436,0.188,0.286,122.811,78,Today
If She Wants a Cowboy,Zach Bryan,2023,192293,4,0.553,0.823,7,-3.194,1,0.0689,0.0201,0,0.111,0.552,133.781,63,Today
Saor / Free / News from Nowhere,Afro Celt Sound System,1999,501093,4,0.511,0.524,7,-10.504,1,0.0305,0.026,0.879,0.106,0.118,81.996,24,World
Whirl-Y-Reel 1,Afro Celt Sound System,1999,441200,4,0.645,0.81,2,-8.133,1,0.0381,0.132,0.395,0.0825,0.53,132.021,25,World
When You're Falling,Afro Celt Sound System,2003,314160,4,0.638,0.822,11,-7.305,1,0.038,0.0508,0.0000254,0.0895,0.802,99.01,36,World
Release,Afro Celt Sound System,2005,456160,4,0.633,0.828,5,-7.266,0,0.048,0.0216,0.0558,0.108,0.537,100.089,31,World
Race With Devil On Spanish Highway,Al Di Meola,1979,378266,4,0.318,0.772,2,-11.606,1,0.0633,0.139,0.531,0.238,0.661,88.648,28,World
"Lady of Rome,Sister of Brazil",Al Di Meola,1980,106240,4,0.71,0.267,9,-16.617,1,0.0435,0.868,0.706,0.0676,0.18,110.909,34,World
"Fantasia Suite - Live at Warfield Theatre,San Francisco,CA - December 5,1980",Al Di Meola,1981,530506,4,0.341,0.497,9,-13.473,1,0.0344,0.726,0.537,0.763,0.458,100.246,27,World
"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre,San Francisco,CA - December 5,1980",Al Di Meola,1981,691306,4,0.415,0.576,4,-11.628,0,0.0331,0.834,0.808,0.698,0.556,100.54,46,World
Electric Rendezvous,Al Di Meola,1982,467266,4,0.337,0.658,9,-12.241,1,0.0388,0.101,0.748,0.113,0.507,108.143,19,World
The Wizard,Al Di Meola,1986,406133,4,0.378,0.552,6,-14.155,1,0.0519,0.369,0.851,0.247,0.652,157.859,18,World
Ai Du (with Ry Cooder),Ali Farka Touré,1990,429973,3,0.57,0.225,5,-17.168,0,0.029,0.306,0.0586,0.0689,0.408,151.78,53,World
Diaraby (with Ry Cooder),Ali Farka Touré,1990,446826,4,0.558,0.275,7,-18.639,0,0.036,0.784,0.0706,0.0831,0.325,142.681,38,World
Gomni (with Ry Cooder),Ali Farka Touré,1990,420800,4,0.404,0.393,8,-18.083,1,0.0368,0.479,0.21,0.0387,0.7,78.914,37,World
Yer Bounda Fara,Ali Farka Touré,1994,256853,4,0.813,0.367,3,-9.87,1,0.0399,0.724,0.00247,0.101,0.733,117.08,23,World
Karaw,Ali Farka Touré,2001,388493,4,0.423,0.433,5,-11.381,0,0.0343,0.837,0.0197,0.0903,0.513,89.55,12,World
Soko,Ali Farka Touré,2004,308866,3,0.727,0.228,0,-13.501,1,0.042,0.857,0,0.136,0.756,112.287,17,World
Inchana Massina (feat. Nitin Sawhney),Ali Farka Touré,2005,313760,4,0.542,0.511,6,-12.026,1,0.0349,0.776,0.278,0.0732,0.44,80.762,16,World
Savane,Ali Farka Touré,2006,463266,4,0.776,0.279,4,-10.45,0,0.0615,0.772,0.134,0.0567,0.509,135.866,40,World
Banga (with Ry Cooder),Ali Farka Touré,2013,152826,4,0.511,0.306,11,-22.718,1,0.0617,0.636,0.843,0.0905,0.631,77.991,29,World
Bonde (with Ry Cooder),Ali Farka Touré,2013,328826,4,0.514,0.532,2,-17.026,1,0.0936,0.712,0.00523,0.0816,0.553,113.821,45,World
Si jaalallee - 1975,Ali Mohammed Birra,1975,247040,3,0.388,0.602,8,-7.172,0,0.0396,0.929,0.308,0.137,0.847,161.244,17,World
Eshurruru,Ali Mohammed Birra,1979,288346,3,0.449,0.699,0,-7.716,1,0.0342,0.852,0.00306,0.12,0.737,158.353,24,World
Imiman Jalaala,Ali Mohammed Birra,1980,300080,4,0.302,0.443,11,-8.31,1,0.0317,0.956,0.73,0.259,0.615,96.406,20,World
Inyaadi'ini,Ali Mohammed Birra,1980,269093,3,0.366,0.655,11,-6.264,0,0.036,0.892,0.462,0.182,0.696,144.054,20,World
Kan ati fettun isani infedhani,Ali Mohammed Birra,1981,284546,3,0.487,0.735,4,-6.399,1,0.035,0.942,0.00000322,0.252,0.961,155.738,14,World
Pata Pata,Angelique Kidjo,1990,172880,4,0.834,0.899,1,-6.668,1,0.102,0.206,0.0145,0.0787,0.906,130.01,8,World
Agolo,Angelique Kidjo,1994,289493,4,0.701,0.808,0,-8.205,1,0.0439,0.0367,0.139,0.377,0.835,93.951,37,World
Voodoo Child (Slight Return),Angelique Kidjo,1996,229273,4,0.741,0.627,8,-7.422,0,0.047,0.0768,0.105,0.176,0.407,88.004,18,World
Wombo Lombo,Angelique Kidjo,1996,255333,4,0.724,0.749,1,-8,1,0.0751,0.0727,0.254,0.0858,0.514,93.827,28,World
We Are One,Angelique Kidjo,1997,250760,4,0.551,0.506,10,-9.697,1,0.0307,0.33,0.000339,0.228,0.283,81.628,37,World
Afrika - Live,Angelique Kidjo,1998,258000,4,0.586,0.956,7,-5.052,1,0.112,0.537,0,0.965,0.622,111.875,9,World
Samba Pa Ti,Angelique Kidjo,1998,217613,4,0.648,0.426,3,-8.344,1,0.03,0.585,0.0117,0.149,0.665,85.115,20,World
Batonga,Angelique Kidjo,2005,276840,4,0.682,0.804,8,-11.932,1,0.0538,0.0396,0.602,0.1,0.872,109.271,28,World
Malaika,Angelique Kidjo,2005,259200,4,0.496,0.223,2,-16.843,1,0.0576,0.744,0,0.0547,0.456,170.123,26,World
Jin-Go-Lo-Ba (Jin-Go-Low-Bah),Babatunde Olatunji,1959,205266,4,0.714,0.894,0,-4.536,1,0.042,0.523,0.00706,0.117,0.647,125.995,27,World
Akiwowo (Ah-Key-Woh-Woh),Babatunde Olatunji,1963,282333,4,0.623,0.941,8,-5.987,0,0.179,0.271,0.000536,0.125,0.381,123.615,19,World
Oya (Aw-Yah),Babatunde Olatunji,1980,335293,4,0.624,0.884,11,-5.755,0,0.0637,0.0479,0.763,0.0962,0.415,134.794,18,World
"Rain,Rain",Bill Frisell,1984,165800,4,0.285,0.0546,0,-18.833,1,0.0382,0.909,0.811,0.145,0.121,79.065,38,World
Rambler,Bill Frisell,1987,492266,4,0.399,0.237,0,-18.084,1,0.0329,0.845,0.967,0.119,0.573,127.871,23,World
The Pioneers,Bill Frisell,1995,253586,4,0.439,0.0643,7,-20.274,1,0.0627,0.912,0.734,0.11,0.366,91.034,35,World
Strange Meeting - Live/Umbria Jazz Orchestra,Bill Frisell,1996,384733,4,0.469,0.28,5,-14.595,0,0.025,0.854,0.806,0.0993,0.263,100.917,24,World
"Gone,Just Like a Train",Bill Frisell,2000,331133,4,0.58,0.307,2,-12.98,1,0.0494,0.109,0.858,0.131,0.244,115.735,6,World
In Line,Bill Frisell,2000,279000,3,0.394,0.2,2,-20.953,0,0.0388,0.909,0.924,0.0926,0.112,113.277,12,World
Lookout for Hope,Bill Frisell,2000,309733,4,0.391,0.309,4,-15.062,0,0.0334,0.951,0.805,0.361,0.171,112.492,30,World
Start,Bill Frisell,2001,353506,3,0.208,0.0156,0,-28.158,1,0.0375,0.969,0.927,0.0795,0.0388,65.097,22,World
Ederlezi,Boban Markovic Orkestar,1988,343186,5,0.227,0.227,9,-15.695,0,0.0354,0.882,0.861,0.261,0.036,140.686,16,World
SAT,Boban Markovic Orkestar,1998,263933,4,0.775,0.263,8,-10.551,1,0.0481,0.948,0.927,0.107,0.551,101.928,36,World
Another Night In Tunisia,Bobby McFerrin,1984,254626,4,0.667,0.429,9,-17.68,0,0.698,0.587,0.00000198,0.0934,0.735,82.106,10,World
Don't Worry Be Happy,Bobby McFerrin,1988,294400,4,0.675,0.166,11,-22.602,1,0.171,0.88,0.0000714,0.0461,0.747,68.837,68,World
Drive My Car,Bobby McFerrin,1988,164165,4,0.886,0.19,0,-19.927,1,0.105,0.722,0.000309,0.0642,0.595,118.099,26,World
Good Lovin',Bobby McFerrin,1988,178773,4,0.566,0.385,8,-15.936,1,0.314,0.743,0,0.254,0.844,121.817,30,World
I Hear Music,Bobby McFerrin,1988,234466,4,0.646,0.372,10,-16.453,0,0.539,0.795,0.0000616,0.779,0.785,121.464,7,World
Thinkin' About Your Body - Live,Bobby McFerrin,1993,195133,4,0.581,0.224,0,-19.336,0,0.155,0.679,0.0013,0.116,0.449,96.211,25,World
The 23rd Psalm,Bobby McFerrin,1994,188706,3,0.283,0.0198,10,-26.16,1,0.0401,0.979,0,0.0862,0.0546,138.242,22,World
A Szerelemről,Both Miklós Folkside,2010,395933,4,0.351,0.256,7,-11.14,1,0.0305,0.761,0.00191,0.359,0.133,59.52,0,World
Csillagfészek,Both Miklós Folkside,2010,342293,4,0.452,0.72,7,-6.923,1,0.0431,0.00423,0.0349,0.0769,0.415,150.125,0,World
Izlel E Delio Haidutin,Bulgarian State Television Female Choir,1986,226373,4,0.206,0.204,7,-11.055,0,0.0352,0.948,0.00781,0.107,0.112,83.561,4,World
Kalimankou Denkou (The Evening Gathering),Bulgarian State Television Female Choir,1986,306133,5,0.194,0.191,11,-15.752,0,0.0412,0.977,0.036,0.319,0.0326,128.433,22,World
Kaval Sviri (The Flute Plays),Bulgarian State Television Female Choir,1986,131706,3,0.179,0.287,5,-15.415,1,0.0395,0.847,0.00000824,0.361,0.18,92.063,23,World
Prïtoutïtze Planinata (Song from the Thracian Plain),Bulgarian State Television Female Choir,1986,165826,5,0.184,0.125,6,-9.291,0,0.036,0.922,0.0228,0.0596,0.0852,88.717,14,World
Svatba (The Wedding),Bulgarian State Television Female Choir,1988,87226,4,0.356,0.371,4,-12.668,0,0.0347,0.958,0.0000117,0.293,0.489,105.443,19,World
Basic Instructions,Burlap To Cashmere,1998,239306,4,0.608,0.97,9,-8.578,0,0.062,0.112,0.0225,0.051,0.536,135.779,31,World
Treasures In Heaven,Burlap To Cashmere,1998,267866,4,0.664,0.455,7,-8.908,1,0.0238,0.0499,0.00000448,0.123,0.496,94.999,27,World
Abatina,Calypso Rose,2003,224630,4,0.753,0.881,0,-4.443,1,0.0653,0.232,0.0000383,0.151,0.724,103.968,59,World
Calypso Blues,Calypso Rose,2003,260120,4,0.946,0.49,2,-7.989,0,0.0901,0.0604,0.0000479,0.0468,0.768,129.947,57,World
Fire in Me Wire,Calypso Rose,2004,295400,4,0.849,0.663,5,-10.881,0,0.0416,0.356,0.0192,0.0518,0.94,126.776,17,World
Calypso Queen,Calypso Rose,2007,197813,4,0.658,0.622,11,-7.427,1,0.0879,0.418,0.000138,0.105,0.901,84.739,61,World
Leave Me Alone - Kubiyashi Remix,Calypso Rose,2007,216170,4,0.781,0.784,11,-4.553,0,0.182,0.153,0,0.0529,0.919,105.017,16,World
Baila Mami (feat. Nailah Blackman & Lao Ra),Calypso Rose,2019,177066,4,0.667,0.918,5,-3.788,0,0.0521,0.138,0,0.288,0.885,99.994,14,World
Ailein Duinn,Capercaillie,1992,216773,4,0.484,0.266,3,-14.555,0,0.0271,0.0368,0.0331,0.0759,0.0772,103.857,34,World
"Coisich,a Ruin",Capercaillie,1992,193066,4,0.699,0.565,11,-10.656,0,0.0551,0.397,0.00000276,0.102,0.58,120.853,16,World
S' Och A' Dhomhnaill Oig Ghaolaich,Capercaillie,1992,244986,4,0.478,0.516,2,-8.496,0,0.0329,0.659,0.0000143,0.105,0.702,170.031,28,World
Nighean Dubh Nighean Donn,Capercaillie,2000,273906,4,0.495,0.553,0,-7.817,1,0.0459,0.688,0.00000241,0.0908,0.664,95.379,10,World
Skye Waulking Song,Capercaillie,2000,280333,3,0.39,0.425,7,-10.297,1,0.0413,0.776,0.000281,0.0413,0.423,172.076,17,World
The Jura Wedding Reels,Capercaillie,2000,225760,4,0.617,0.797,9,-6.516,1,0.0361,0.531,0.00386,0.106,0.866,111.04,41,World
Cumbia sobre el río / Interludio,Celso Piña,1996,342973,4,0.711,0.816,1,-6.397,1,0.0515,0.0237,0.797,0.294,0.861,96.999,59,World
Petit pays,Cesária Evora,1989,224506,4,0.551,0.488,4,-11.583,0,0.0321,0.804,0,0.264,0.855,156.152,58,World
Sodade,Cesária Evora,1992,293640,4,0.575,0.43,8,-13.168,1,0.0363,0.822,0.000661,0.115,0.427,82.691,58,World
À Primeira Vista,Chico César,1995,216800,4,0.542,0.148,11,-12.99,1,0.0394,0.782,0,0.704,0.248,89.585,59,World
Mama África,Chico César,1995,214826,4,0.676,0.469,1,-8.715,0,0.0482,0.648,0,0.987,0.885,163.709,49,World
Pensar Em Você,Chico César,1996,236373,4,0.717,0.502,2,-10.684,1,0.0501,0.254,0,0.107,0.399,88.057,43,World
Shusha Nyavu,Christina Shusho,1997,226866,4,0.689,0.781,7,-4.904,1,0.156,0.188,0.0000279,0.0907,0.72,90.064,44,World
Unikumbuke,Christina Shusho,1997,452756,3,0.752,0.435,2,-10.247,1,0.0513,0.835,0,0.105,0.568,132.167,35,World
Look so Good,David Lindley,1985,92906,3,0.391,0.0285,4,-23.44,1,0.0368,0.875,0.15,0.306,0.323,88.264,32,World
Talk to the Lawyer,David Lindley,1985,300560,4,0.71,0.633,2,-13.363,1,0.0333,0.178,0.000437,0.116,0.963,126.108,17,World
Ballad Of The Sad Young Men,Davy Graham,1964,192600,4,0.525,0.0815,2,-17.799,0,0.0415,0.82,0.0000513,0.0782,0.22,69.118,8,World
She Moved Through The Fair,Davy Graham,1964,194400,4,0.437,0.204,8,-20.494,1,0.109,0.914,0.886,0.657,0.521,90.088,18,World
Cry Me a River,Davy Graham,1965,139546,4,0.6,0.0831,2,-25.66,0,0.0368,0.923,0.917,0.0933,0.224,104.599,9,World
Fire In My Soul,Davy Graham,1965,110560,4,0.549,0.417,2,-18.878,1,0.0715,0.521,0.645,0.108,0.358,100.411,28,World
Cocaine,Davy Graham,1969,147466,3,0.576,0.141,4,-17.158,1,0.0347,0.932,0.00000185,0.111,0.392,140.792,30,World
Wilt Thou Unkind,Davy Graham,1977,52333,4,0.641,0.0378,11,-27.365,0,0.0577,0.928,0.955,0.107,0.509,97.369,1,World
Cantara - Remastered,Dead Can Dance,1984,358293,3,0.301,0.512,1,-11.001,1,0.0273,0.000695,0.767,0.0922,0.0531,120.236,35,World
Black Sun - Remastered,Dead Can Dance,1987,296506,4,0.477,0.488,5,-11.48,1,0.031,0.0365,0.0000275,0.614,0.129,133.715,32,World
Enigma of the Absolute - Remastered,Dead Can Dance,1990,254040,4,0.39,0.472,7,-9.174,0,0.0318,2.14E-06,0.703,0.354,0.309,112.11,23,World
In the Kingdom of the Blind the One-Eyed Are Kings - Remastered,Dead Can Dance,1991,252480,4,0.146,0.161,5,-13.277,0,0.0319,0.237,0.00297,0.102,0.0468,79.9,28,World
Rakim - Live Remastered,Dead Can Dance,1991,385373,4,0.335,0.86,2,-8.29,1,0.0507,0.0282,0.000539,0.927,0.0383,157.008,33,World
Saltarello - Remastered,Dead Can Dance,1991,154173,4,0.52,0.608,2,-11.985,0,0.0297,0.000152,0.431,0.322,0.434,109.011,37,World
Yulunga (Spirit Dance),Dead Can Dance,1992,415613,4,0.331,0.318,2,-14.095,1,0.0408,0.27,0.891,0.115,0.0381,95.299,40,World
Sanvean - Live Remastered,Dead Can Dance,1993,238693,3,0.106,0.24,9,-12.08,0,0.0379,0.936,0.0742,0.674,0.0388,90.689,29,World
The Host of Seraphim - Remastered,Dead Can Dance,1993,378173,3,0.0853,0.293,5,-13.076,0,0.0415,0.00621,0.863,0.108,0.0309,168.753,45,World
The Ubiquitous Mr. Lovegrove - Remastered,Dead Can Dance,1993,377213,4,0.611,0.496,5,-11.018,1,0.0306,0.211,0.000396,0.109,0.188,161.862,36,World
Mazha Paadum,Deepak Dev,2002,266102,3,0.659,0.353,0,-9.648,1,0.0317,0.864,0.00000234,0.151,0.548,104.042,54,World
Nilakudame,Deepak Dev,2002,275322,4,0.577,0.487,4,-6.859,1,0.0278,0.791,0.000082,0.169,0.531,123.888,19,World
I Dig You,Demis Roussos,1971,247733,4,0.552,0.709,11,-13.087,1,0.0411,0.0897,0.0867,0.288,0.849,116.079,26,World
Forever And Ever,Demis Roussos,1973,221266,4,0.361,0.57,3,-9.065,1,0.034,0.356,0,0.16,0.642,117.653,48,World
Goodbye My Love Goodbye,Demis Roussos,1973,234866,4,0.267,0.442,7,-10.41,1,0.0304,0.736,0,0.15,0.257,91.715,40,World
My Friend The Wind,Demis Roussos,1973,235626,4,0.452,0.754,10,-8.017,1,0.0607,0.201,0,0.265,0.813,138.598,34,World
When Forever Has Gone,Demis Roussos,1973,183400,3,0.395,0.539,10,-7.803,1,0.0283,0.141,0,0.0875,0.552,102.016,5,World
Lovely Lady Of Arcadia,Demis Roussos,1974,204226,4,0.469,0.507,7,-11.74,1,0.0328,0.656,0,0.347,0.842,76.959,37,World
My Reason,Demis Roussos,1974,239333,4,0.311,0.616,6,-8.676,1,0.0317,0.348,0,0.0882,0.566,98.589,31,World
Someday Somewhere,Demis Roussos,1975,184760,4,0.445,0.58,8,-12.538,1,0.068,0.543,0.00000246,0.216,0.734,119.595,34,World
Red Rose Cafe,Demis Roussos,1979,278082,3,0.28,0.386,2,-13.33,1,0.0364,0.572,0,0.242,0.352,179.018,18,World
Shaouk,Dhafer Youssef,2001,127666,4,0.593,0.00562,0,-22.482,1,0.118,0.987,0.688,0.0949,0.106,139.259,43,World
Yabay,Dhafer Youssef,2006,196773,1,0.382,0.0892,11,-10.572,0,0.0466,0.912,0.0578,0.0856,0.155,127.685,28,World
Langue muette,Dhafer Youssef,2010,213560,4,0.514,0.0183,9,-23.29,0,0.0525,0.991,0.876,0.0745,0.154,113.555,36,World
Echoes of the Past Float Away,Diane Arkenstone,1995,235760,4,0.381,0.371,9,-17.696,0,0.0341,0.854,0.856,0.0623,0.0675,184.123,14,World
Precious Waters,Diane Arkenstone,1995,267453,4,0.405,0.243,6,-15.231,0,0.0279,0.905,0.914,0.109,0.0745,89.973,21,World
Voice of the Sea,Diane Arkenstone,2000,316666,4,0.498,0.467,1,-13.228,0,0.0335,0.238,0.877,0.082,0.212,89.975,33,World
