Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
N Side,Steve Lacy,2022,224444,4,0.838,0.535,11,-6.303,0,0.0432,0.0714,0.000302,0.208,0.894,119.946,70,Today
Playground,Steve Lacy,2022,213797,4,0.482,0.788,7,-6.307,1,0.0432,0.115,0.00374,0.344,0.85,191.772,54,Today
Ryd,Steve Lacy,2022,140182,4,0.788,0.939,9,-7.327,0,0.0544,0.0723,0.000181,0.133,0.98,137.002,68,Today
Some,Steve Lacy,2022,118393,4,0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,82,Today
Broken Clocks,SZA,2017,231253,4,0.692,0.684,6,-7.364,1,0.155,0.131,0,0.156,0.406,112.912,82,Today
Garden (Say It Like Dat),SZA,2017,208400,4,0.73,0.457,9,-7.26,1,0.283,0.0705,0,0.124,0.549,111.352,68,Today
Love Galore (feat. Travis Scott),SZA,2017,275080,4,0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,76,Today
The Weekend,SZA,2017,272186,3,0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,74,Today
Good Days,SZA,2020,279204,4,0.436,0.655,1,-8.37,0,0.0583,0.499,0.0000081,0.688,0.412,121.002,76,Today
Hit Different,SZA,2020,202007,4,0.679,0.516,0,-6.371,0,0.0452,0.199,0,0.0965,0.716,120.074,68,Today
I Hate U,SZA,2021,173906,5,0.533,0.417,7,-8.665,0,0.148,0.514,0,0.114,0.376,106.534,70,Today
Kill Bill,SZA,2023,153946,4,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,79,Today
Snooze,SZA,2023,201800,4,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,87,Today
Love Story,Taylor Swift,2008,235266,4,0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,65,Today
Blank Space,Taylor Swift,2014,231826,4,0.753,0.678,5,-5.421,1,0.0644,0.085,0.00000164,0.13,0.583,96.006,70,Today
Shake It Off,Taylor Swift,2014,219200,4,0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,70,Today
Bad Blood,Taylor Swift,2015,211933,4,0.65,0.802,7,-6.114,1,0.181,0.0871,0.00000654,0.148,0.295,170.146,63,Today
Delicate,Taylor Swift,2018,232253,4,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,81,Today
cardigan,Taylor Swift,2020,239560,4,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,85,Today
willow,Taylor Swift,2020,214706,4,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,76,Today
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,613026,4,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,80,Today
You Belong With Me (Taylor’s Version),Taylor Swift,2021,231124,4,0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,81,Today
Anti-Hero,Taylor Swift,2022,200690,4,0.633,0.648,4,-6.645,1,0.062,0.121,0.00000262,0.161,0.49,96.888,84,Today
Can't Feel My Face,The Weeknd,2015,213520,4,0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,81,Today
Earned It (Fifty Shades Of Grey),The Weeknd,2015,277680,3,0.657,0.291,2,-8.275,0,0.0348,0.405,0,0.0771,0.405,119.782,72,Today
In The Night,The Weeknd,2015,235653,3,0.505,0.68,7,-4.993,1,0.0714,0.0796,0,0.0465,0.539,168.022,72,Today
The Hills,The Weeknd,2015,242253,4,0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,85,Today
Starboy,The Weeknd,2016,230453,4,0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,88,Today
Blinding Lights,The Weeknd,2019,200040,4,0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,89,Today
Heartless,The Weeknd,2019,198266,4,0.537,0.746,10,-5.507,0,0.15,0.0236,0.000001,0.156,0.252,170.083,77,Today
After Hours,The Weeknd,2020,361026,4,0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,80,Today
Save Your Tears,The Weeknd,2020,215626,4,0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,85,Today
Poetic Pain,Toosii,2020,205657,4,0.785,0.632,8,-6.448,0,0.234,0.0312,0,0.11,0.334,73.534,44,Today
Love Cycle (with Summer Walker),Toosii,2021,215405,4,0.774,0.451,6,-8.942,0,0.239,0.0533,0,0.078,0.429,126.955,48,Today
Favorite Song,Toosii,2022,204000,4,0.814,0.38,2,-9.34,1,0.0494,0.274,0,0.098,0.434,116.029,66,Today
Favorite Song (feat. Future) [Toxic Version],Toosii,2022,208621,4,0.82,0.386,2,-8.508,1,0.0598,0.334,0,0.0991,0.381,116.014,48,Today
Fuk You Mean,Toosii,2022,176363,4,0.708,0.44,3,-10.852,0,0.0884,0.615,0,0.151,0.421,131.805,62,Today
back together,Toosii,2023,192091,4,0.539,0.354,7,-11.112,1,0.447,0.37,0,0.126,0.214,170.094,32,Today
Red Lights,Toosii,2023,153569,4,0.611,0.693,8,-6.363,1,0.256,0.0049,0,0.0962,0.447,150.918,38,Today
Shake the Frost (Live),Tyler Childers,2020,175120,4,0.447,0.341,2,-9.769,1,0.0457,0.806,0.00000205,0.686,0.371,138.969,78,Today
35’s,Tyler Hubbard,2023,174733,4,0.529,0.789,10,-5.511,1,0.0576,0.00398,0,0.291,0.453,139.853,49,Today
5 Foot 9,Tyler Hubbard,2023,189780,4,0.602,0.796,5,-5.609,1,0.0465,0.146,0,0.125,0.53,106.005,67,Today
